1,0.021,0,0,0.03,0.081,0,0,0.028,0,0.088,0,0,0,0,0,0,0.091,0.029,0,1.757,0,0,0.003,0.11,0.11,0,0,0,0,0,0.093,0.03,0,0,0,0,0,0.052,0.074,0,0,0,0,0,0,0.075,0.057,0,0.152,1.597,0,0,0,0.086,0.045,0,0,0,0,0,0.01,0.111,0.013,0,0,0,0,0.04,0.094,0,0,0,0,0,0,0,0.048,0,1.687,0,0,0,0.04,0.088,0,0,0,0,0,0.097,0.035,0,0,0,0,0
2,0.24,1.432,2.196,0.266,0.266,0.199,0.204,0.197,0.206,0.201,0.202,0.197,0.254,0.202,0.198,0.196,0.197,0.106,1.184,0.135,0.105,0.106,0.106,0.16,0.16,0.12,0.115,0.113,0.036,0.019,0.02,0.084,0.038,0.038,0.02,0.02,0.125,0.108,0.106,0.193,0.196,0.538,0.363,0.324,0.27,0.649,0.435,0.266,0.271,0.27,0.308,0.375,0.369,0.368,0.34,0.268,0.382,0.362,0.332,1.152,0.806,0.268,0.351,2.255,4.097,2.698,2.698,4.332,3.27,4.274,2.052,2.052,2.32,3.056,3.056,1.796,2.33,3.17,2.18,2.89,1.71,1.856,1.788,2.384,0.542,1.84,0.506,0.51,1.681,0.576,0.516,1.978,1.1,1.387,1.387,1.571
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1.46,1.307,3.055,1.353,2.168,1.256,1.323,1.332,1.218,1.318,1.184,1.186,1.25,1.394,1.338,2.482,1.37,1.28,1.382,1.92,2.045,1.988,1.988,1.881,1.891,1.952,2.015,1.924,1.878,2.74,1.978,1.978,1.892,1.875,2.305,3.349,4.274,3.321,6.764,7.126,7.752,7.77,7.77,7.86,3.496,3.041,1.98,1.954,1.854,1.852,1.934,2.986,1.926,1.86,2.506,2.256,1.879,5.079,5.392,2.57,2.994,3.364,4.428,2.152,2.18,3.078,3.078,3.376,3.392,3.462,3.434,3.434,3.366,3.392,3.392,3.461,4.472,4.34,4.154,2.507,3.456,3.445,4.274,3.52,3.514,3.406,3.31,3.308,3.3,4.81,3.201,3.266,3.274,3.18,3.18,3.336
5,0.631,0.614,0.556,0.56,0.554,0.242,0.554,0.365,0.464,0.352,0.423,0.352,0.274,0.232,0.228,0.23,0.226,0.232,0.332,0.349,0.281,0.23,0.228,0.228,0.228,0.226,0.23,0.222,0.33,0.346,0.28,0.226,0.236,0.236,0.229,0.227,0.226,0.224,0.227,0.304,0.394,0.364,0.26,0.24,0.24,0.215,0.21,0.216,0.332,0.334,0.236,0.217,0.193,0.186,0.182,0.188,0.221,0.427,0.568,0.521,0.375,0.656,0.662,0.691,0.432,0.285,0.256,0.366,0.366,0.36,0.356,0.23,0.23,1.209,1.214,1.214,0.486,0.176,0.174,0.176,0.172,0.174,0.377,0.43,0.418,0.316,0.299,0.297,1.092,1.292,1.174,1.042,1.438,1.088,0.954,0.954
6,0.039,0.037,0.08,0.139,0.131,0.038,0.04,0.039,0.036,0.038,0.04,0.038,0.038,0.048,0.111,0.137,0.096,0.038,0.035,0.038,0.04,0.036,0.04,0.039,0.039,0.04,0.052,0.138,0.135,0.051,0.04,0.036,0.04,0.04,0.04,0.036,0.038,0.038,0.064,0.42,0.64,1.356,1.252,1.165,1.183,1.163,1.125,1.028,0.832,0.768,0.817,0.663,0.122,0.051,0.098,0.197,0.112,0.027,0.057,0.027,0.085,0.13,0.122,0.056,0.028,0.028,0.024,0.024,0.037,0.131,0.124,0.126,0.126,0.026,0.024,0.024,0.03,0.025,0.125,0.122,0.091,0.025,0.024,0.028,0.024,0.026,0.023,0.101,0.124,0.673,1.143,1.233,1.016,1.328,1.328,0.335
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.48,0.379,0.469,2.685,4.649,0.544,3.178,0.679,1.96,0.643,0.907,0.685,0.524,0.787,0.523,0.694,0.617,0.684,0.377,0.747,0.686,0.507,0.749,0.549,0.549,0.726,0.524,0.682,0.571,0.722,0.511,0.564,0.726,0.726,0.642,0.654,0.503,0.682,0.602,0.292,0.471,0.168,0.12,0.138,0.109,0.134,0.134,0.228,0.168,0.157,0.064,0.096,0.106,0.106,0.047,0.047,0.144,0.069,0.046,0.046,0.071,0.081,0.047,0.088,0.046,0.12,0.12,0.177,0.119,0.119,0.133,0.072,0.048,0.15,0.051,0.048,0.155,0.047,0.048,0.156,0.047,0.154,0.045,0.048,0.047,0.138,0.046,0.126,0.073,0.045,0.045,0.045,0.047,0.143,0.046,0.142
9,3.002,3.002,1.094,0.932,0.621,0.82,0.539,0.799,0.438,0.587,0.646,0.683,0.646,1.23,3.182,2.438,2.94,1.163,1.769,0.708,0.687,0.687,0.556,0.308,0.299,0.337,0.42,0.372,0.448,1.356,1.356,1.572,1.264,0.976,1.219,0.984,0.992,0.877,0.867,0.867,1.529,3.316,3.21,3.21,1.912,2.08,2.08,1.274,1.084,1.028,2.231,2.336,2.336,0.922,0.312,0.869,0.869,0.644,0.865,1.432,0.23,0.226,0.26,0.26,1.078,1.038,0.958,0.958,1.644,1.925,2.007,2.432,2.915,3.088,3.325,2.522,2.434,1.964,1.237,1.146,1.843,0.768,0.653,0.467,0.946,1.239,1.154,1.154,0.832,0.488,0.175,0.214,0.21,0.11,0.106,0.172
10,1.952,0.924,4.404,4.448,4.196,4.228,3.748,4.332,2.108,2.324,2.996,0.98,0.988,3.9,3.4,3.408,2.132,0.292,0.388,0.264,0.268,0.316,0.264,0.284,0.284,0.236,0.324,0.172,0.228,0.348,0.168,0.228,0.252,0.252,0.244,0.496,0.308,0.3,0.296,0.208,0.3,0.208,0.236,0.224,0.184,0.148,0.148,0.216,0.34,0.336,0.372,0.34,0.564,0.564,1.32,0.808,0.981,0.968,0.76,0.548,0.631,0.468,0.388,0.412,0.532,0.532,3.4,1.568,0.488,0.488,0.372,0.528,1.844,3.668,3.436,3.192,2.024,2.1,2.052,1.572,3.156,0.948,4.268,3.592,2.168,0.896,0.992,0.992,0.988,0.356,0.356,0.28,0.32,0.336,0.436,0.436
